Date,Meal,Food,Calories,Protein,Carbs,Fat
2025-05-04,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-04,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-04,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-04,Breakfast,Eggs (2 large),140,12,1,10
2025-05-04,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-04,Breakfast,Banana,105,1.3,27,0.4
2025-05-04,Breakfast,chicken,0,0,0,0
2025-05-04,Breakfast,chicken,0,0,0,0
2025-05-04,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-04,Breakfast,Apple,95,0.5,25,0.3
2025-05-04,Dinner,White Rice,205,4.3,45,0.4
2025-05-04,Lunch,Eggs (2 large),140,12,1,10
2025-05-04,Snack,Chicken Breast,165,31,0,3.6
2025-05-04,Snack,Chicken Breast,165,31,0,3.6
2025-05-05,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-05,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-05,Breakfast,Apple,95,0.5,25,0.3
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,Chicken Breast,165,31,0,3.6
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Breakfast,White Rice,205,4.3,45,0.4
2025-05-05,Dinner,oats,100,11,26,2
2025-05-05,Dinner,White Rice,205,4.3,45,0.4
2025-05-05,Dinner,White Rice,205,4.3,45,0.4
2025-05-05,Dinner,White Rice,205,4.3,45,0.4
2025-05-05,Lunch,White Rice,205,4.3,45,0.4
2025-05-05,Lunch,White Rice,205,4.3,45,0.4
2025-05-05,Lunch,White Rice,205,4.3,45,0.4
2025-05-05,Snack,White Rice,205,4.3,45,0.4
2025-05-05,Snack,White Rice,205,4.3,45,0.4
2025-05-05,Snack,White Rice,205,4.3,45,0.4
